,Flow,Accuracy
426,weka.AdaBoostM1_MultilayerPerceptron(1),0.929825
427,weka.MultiBoostAB_DecisionStump(1),0.929825
428,weka.AdaBoostM1_RandomForest(1),0.877193
429,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RandomForest(1),0.824561
430,weka.AdaBoostM1_NaiveBayes(1),0.944321
431,weka.Dagging_DecisionStump(1),0.836303
432,weka.AdaBoostM1_RandomForest(1),0.877193
433,weka.MultiBoostAB_DecisionStump(1),0.929825
434,weka.MultiBoostAB_IBk(1),0.842105
435,weka.Bagging_RandomForest(1),0.912281
436,weka.MultiBoostAB_REPTree(1),0.894737
437,weka.BayesNet_LAGDHillClimber(1),0.95657
438,weka.Bagging_LWL_DecisionStump(1),0.949889
439,weka.MultiBoostAB_LWL_DecisionStump(1),0.96882
440,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_LADTree(1),0.789474
441,weka.MultiBoostAB_RandomTree(1),0.877193
442,weka.Bagging_NaiveBayes(1),0.873051
443,weka.AdaBoostM1_BFTree(1),0.996659
444,weka.END_ND_J48(1),0.988864
445,weka.Bagging_SMO_PolyKernel(1),0.964912
446,weka.AdaBoostM1_RandomForest(1),0.992205
447,weka.Bagging_SMO_PolyKernel(1),0.964912
448,weka.AdaBoostM1_LMT(1),0.994432
449,weka.MultiBoostAB_MultilayerPerceptron(1),0.987751
450,weka.RacedIncrementalLogitBoost_DecisionStump(1),0.649123
451,weka.Bagging_SMO_PolyKernel(1),0.977728
452,weka.AdaBoostM1_LMT(1),0.995546
453,weka.RacedIncrementalLogitBoost_DecisionStump(1),0.761693
454,weka.Bagging_J48(1),0.894737
455,weka.AdaBoostM1_NaiveBayes(1),0.929825
456,weka.MultiBoostAB_NaiveBayes(1),0.912281
457,weka.AdaBoostM1_LWL_DecisionStump(1),0.98441
458,weka.AdaBoostM1_LMT(1),0.994432
459,weka.MultilayerPerceptron(1),0.947368
460,weka.Bagging_DecisionStump(1),0.836303
461,weka.Bagging_JRip(1),0.912281
462,weka.BayesNet_HillClimber(1),0.877193
463,weka.MultiBoostAB_LMT(1),0.993318
464,weka.Bagging_SMO_PolyKernel(1),0.947368
465,weka.AdaBoostM1_LMT(1),0.994432
466,weka.Bagging_BFTree(1),0.877193
467,weka.Bagging_BFTree(1),0.991091
468,weka.AdaBoostM1_IBk(1),0.842105
469,weka.SPegasos(1),0.929825
470,weka.Bagging_OneR(1),0.859649
471,weka.Bagging_BFTree(1),0.985523
472,weka.Bagging_RandomForest(1),0.912281
473,weka.AdaBoostM1_LMT(1),0.964912
474,weka.AdaBoostM1_OneR(1),0.849666
475,weka.Bagging_IBk(1),0.824561
476,weka.MultiBoostAB_REPTree(1),0.992205
477,weka.MultiBoostAB_OneR(1),0.849666
478,weka.AdaBoostM1_SMO_PolyKernel(1),0.894737
479,weka.AdaBoostM1_LADTree(1),0.995546
480,weka.Bagging_JRip(1),0.912281
481,weka.MultiBoostAB_SMO_PolyKernel(1),0.912281
482,weka.MultiBoostAB_RandomTree(1),0.859649
483,weka.MultiBoostAB_REPTree(1),0.859649
484,weka.MultiBoostAB_BFTree(1),0.877193
485,weka.MultiBoostAB_MultilayerPerceptron(1),0.983296
486,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_NaiveBayes(1),0.859649
487,weka.AdaBoostM1_JRip(1),0.994432
488,weka.MultiBoostAB_REPTree(1),0.992205
489,weka.Bagging_MultilayerPerceptron(1),0.992205
490,weka.Bagging_BFTree(1),0.985523
491,weka.MultiBoostAB_OneR(1),0.849666
492,weka.Bagging_LADTree(1),0.98441
493,weka.Bagging_MultilayerPerceptron(1),0.929825
494,weka.Bagging_LADTree(1),0.98441
495,weka.Bagging_RandomForest(1),0.912281
496,weka.LWL_RandomForest(1),0.964912
497,weka.AdaBoostM1_J48(1),0.994432
498,weka.Bagging_MultilayerPerceptron(1),0.992205
499,weka.AdaBoostM1_LADTree(1),0.894737
500,weka.AdaBoostM1_RandomForest(1),0.877193
501,weka.AdaBoostM1_NaiveBayes(1),0.945434
502,weka.MultilayerPerceptron(1),0.992205
503,weka.Bagging_IBk(1),0.989978
504,weka.MultiBoostAB_LMT(1),0.947368
505,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RandomTree(1),0.971047
506,weka.AdaBoostM1_LWL_DecisionStump(1),0.947368
507,weka.MultiBoostAB_OneR(1),0.836303
508,weka.MultiBoostAB_RandomForest(1),0.992205
509,weka.MultiBoostAB_LMT(1),0.993318
510,weka.MultiBoostAB_OneR(1),0.842984
511,weka.Bagging_IBk(1),0.987751
512,weka.MultiBoostAB_J48(1),0.894737
513,weka.AdaBoostM1_OneR(1),0.912281
514,weka.SimpleCart(1),0.824561
515,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_LMT(1),0.969933
516,weka.MultiBoostAB_NaiveBayes(1),0.947368
517,weka.AdaBoostM1_J48(1),0.894737
518,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RBFClassifier(1),0.885301
519,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_SPegasos(1),0.912281
520,weka.Bagging_LADTree(1),0.987751
521,weka.AdaBoostM1_SMO_PolyKernel(1),0.992205
522,weka.Bagging_OneR(1),0.836303
523,weka.AdaBoostM1_BFTree(1),0.877193
